Company,Brand,Product,Actual,Budgeted,Dummy,Month,Year, Price (US/ TT) , A&P 
Alstons Marketing Co,Hi Dee,3.78L,300,900,0,May ,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,60,140,0,May ,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,250,350,0,May ,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,200,450,0,June,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,400,600,0,June,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,125,90,1,June,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,250,250,1,June,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,400,500,0,July,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,400,700,0,July,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,120,120,1,July,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,300,300,1,July,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,700,500,1,August,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,1000,700,1,August,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,250,120,1,August,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,650,300,1,August,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,400,550,0,September,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,598,900,0,September,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,125,120,1,September,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,400,400,1,September,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,400,650,0,October,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,500,1100,0,October,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,100,140,0,October,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,300,500,0,October,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,450,650,0,November,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,600,1250,0,November,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,120,150,0,November,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,400,500,0,November,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,500,500,1,December,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,600,800,0,December,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,60,100,0,December,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,500,400,1,December,2019, $7.68 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,3200,5000,0,January,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,5000,7900,0,January,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,3500,4400,0,January,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,5410,5800,0,January,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,5511,5750,0,February,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,6600,6664,0,February,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,6333,2400,1,February,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,7311,5000,1,February,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,7992,5750,1,March,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,3450,6664,0,March,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,2000,4000,0,March,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,11647,5000,1,March,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,4200,5750,0,April,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,5280,6664,0,April,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,5987,4000,1,April,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,3466,5000,0,April,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,4000,6528,0,May,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,6700,4000,1,May,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,4236,6620,0,May,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,5360,6040,0,May,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,400,5750,0,June,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,2400,6664,0,June,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,1472,2400,0,June,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,2532,5000,0,June,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,4331,5750,0,July,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,2215,6664,0,July,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,2800,2400,1,July,2019, $6.76 ,
